prev_close,iep,change,final_price,low_52,high_52,high
6815.80,6846.60,30.80,6846.60,4637.50,8329.00,6846.85
6644.25,6675.00,30.75,6675.00,4637.50,8329.00,6784.85
7326.75,7357.00,30.25,7357.00,5750.00,8329.00,7358
7589.20,7618.00,28.80,7585.00,4001.10,8329.00,7765
7272.10,7300.00,27.90,7300.00,4001.10,8329.00,7313
7027.55,7054.80,27.25,7054.80,6270.15,8329.00,7168.5
7307.00,7333.00,26.00,7333.00,5752.00,8329.00,7333
7654.70,7680.00,25.30,7680.00,4001.10,8329.00,7716.45
8139.85,8164.80,24.95,8164.80,4001.10,8329.00,8180
7575.25,7600.00,24.75,7600.00,6400.00,8329.00,7625
6930.95,6955.00,24.05,6930.00,6270.15,8329.00,7064.75
6826.85,6850.00,23.15,6850.00,4406.50,8329.00,6875.25
6796.90,6820.00,23.10,6820.00,6270.15,8329.00,6872
7573.85,7596.30,22.45,7596.30,5750.00,8329.00,7690
6817.55,6840.00,22.45,6840.00,4680.55,8329.00,6842.15
6952.25,6974.00,21.75,6974.00,6270.15,8329.00,7448
7086.30,7107.55,21.25,7107.55,5201.00,8329.00,7143
6608.60,6629.75,21.15,6629.75,6270.15,8329.00,6694.6
7494.15,7515.00,20.85,7515.00,4001.10,8329.00,7638
7199.40,7220.00,20.60,7220.00,6125.05,8329.00,7248.6
6969.35,6989.85,20.50,6989.85,5445.00,8329.00,6989.85
7239.00,7258.00,19.00,7258.00,5201.00,8329.00,7279.45
7301.55,7320.00,18.45,7300.00,4001.10,8329.00,7387
7012.00,7030.00,18.00,7030.00,6270.15,8329.00,7049.9
7487.50,7505.50,18.00,7505.50,5650.00,8329.00,7646.6
7162.30,7180.00,17.70,7180.00,6400.00,8329.00,7214.95
7432.70,7448.80,16.10,7448.80,5650.00,8329.00,7550
7249.00,7264.90,15.90,7264.90,4001.10,8329.00,7338.8
7184.70,7200.00,15.30,7200.00,5201.00,8329.00,7230
6865.00,6880.00,15.00,6865.20,4120.00,8329.00,6939.3
7165.55,7180.00,14.45,7180.00,5812.00,8329.00,7265
6911.80,6926.00,14.20,6926.00,5135.40,8329.00,7051
7102.90,7072.00,14.10,7072.00,6185.00,8329.00,7079.95
6676.10,6690.20,14.10,6690.20,4637.50,8329.00,6789
7657.00,7670.20,13.20,7670.20,6400.00,8329.00,7768.6
7293.85,7307.00,13.15,7307.00,5928.05,8329.00,7360
7514.95,7528.00,13.05,7528.00,5750.00,8329.00,7581
7258.25,7270.90,12.65,7270.90,6400.00,8329.00,7281.5
7527.45,7540.00,12.55,7540.00,5650.00,8329.00,7665
6666.65,6679.00,12.35,6679.00,4637.50,8329.00,6754.55
7089.30,7100.00,10.70,7100.00,4001.10,8329.00,7200
7150.30,7160.00,9.70,7160.00,4001.10,8329.00,7169.95
8076.75,8085.00,8.25,8085.00,4001.10,8329.00,8308
8149.45,8157.15,7.70,8157.15,4001.10,8329.00,8219.5
6993.50,7000.00,6.50,7000.00,6118.95,8329.00,7095
7574.60,7581.00,6.40,7581.00,4001.10,8329.00,7680
7214.70,7221.00,6.30,7221.00,5201.00,8329.00,7328.85
7430.35,7436.00,5.65,7436.00,5750.00,8329.00,7449
7449.40,7455.00,5.60,7455.00,5750.00,8329.00,7498
7235.80,7241.30,5.50,7241.30,5928.05,8329.00,7320
6775.90,6780.80,4.90,6780.80,4745.50,8329.00,6814.7
7260.60,7265.00,4.40,7265.00,6400.00,8329.00,7337.95
6909.00,6913.30,4.30,6913.30,6270.15,8329.00,6949
6846.70,6850.00,3.30,6843.00,6270.15,8329.00,7037.8
7177.85,7181.15,3.30,7181.15,5391.05,8329.00,7228.85
7384.05,7384.75,0.70,7384.75,6400.00,8329.00,7408.05
7265.40,7266.10,0.70,7266.10,5650.00,8329.00,7479
7599.45,7600.00,0.55,7591.95,5750.00,8329.00,7657.95
7021.50,7022.00,0.50,7022.00,6270.15,8329.00,7084.8
7299.55,7300.00,0.45,7300.00,5928.05,8329.00,7375
7001.95,7002.00,0.05,7002.00,6270.15,8329.00,7095
6568.75,6568.75,0.00,6568.75,4637.50,8329.00,6650
7323.00,7323.00,0.00,7323.00,4001.10,8329.00,7325
8188.05,8188.00,-0.05,8188.00,4001.10,8329.00,8250
6590.10,6590.00,-0.10,6590.00,4637.50,8329.00,6709
7596.25,7596.00,-0.25,7596.00,5650.00,8329.00,7601
7166.25,7166.00,-0.25,7166.00,5391.05,8329.00,7193.75
6520.60,6520.00,-0.60,6520.00,4637.50,8329.00,6845.4
7131.60,7130.00,-1.60,7130.00,4001.10,8329.00,7315
7170.30,7164.80,-5.50,7164.80,6400.00,8329.00,7300
6736.65,6730.00,-6.65,6730.00,4680.55,8329.00,6840
7209.50,7200.00,-9.50,7200.00,5201.00,8329.00,7272
7113.55,7104.00,-9.55,7104.00,4001.10,8329.00,7142.5
7430.00,7420.20,-9.80,7420.20,6400.00,8329.00,7814.8
6711.45,6700.00,-11.45,6700.00,6270.15,8329.00,6701.35
6811.10,6799.00,-12.10,6799.00,4680.55,8329.00,6854.95
7034.30,7022.00,-12.30,7022.00,5135.40,8329.00,7047
7034.30,7022.00,-12.30,7022.00,5135.40,8329.00,7069
6814.65,6802.00,-12.65,6802.00,4851.05,8329.00,6965
7700.80,7687.90,-12.90,7687.90,6400.00,8329.00,7750
8024.75,8011.00,-13.75,8011.00,4001.10,8329.00,8023.95
6970.00,6955.00,-15.00,6955.00,5201.00,8329.00,7100
6923.90,6908.50,-15.40,6908.50,4001.10,8329.00,6908.5
7515.90,7500.00,-15.90,7500.00,5681.45,8329.00,7605
7697.05,7679.95,-17.10,7679.95,4001.10,8329.00,7691.5
7369.70,7350.00,-19.70,7350.00,6400.00,8329.00,7550
7002.20,6982.50,-19.70,6982.50,6270.15,8329.00,7018
6736.40,6716.50,-19.90,6716.50,4680.55,8329.00,6838.4
7401.20,7381.00,-20.20,7381.00,5750.00,8329.00,7447.9
7621.70,7600.00,-21.70,7600.00,4001.10,8329.00,7744
7627.05,7605.20,-21.85,7630.00,4001.10,8329.00,7674.9
6646.65,6624.45,-22.20,6640.00,4637.50,8329.00,6674.9
6792.90,6770.00,-22.90,6770.00,6270.15,8329.00,6958
6877.15,6852.10,-25.05,6852.10,6270.15,8329.00,6858.35
6840.10,6815.00,-25.10,6815.00,6270.15,8329.00,6914.65
6455.65,6430.00,-25.65,6430.00,4637.50,8329.00,6622
7870.90,7845.10,-25.80,7861.45,4001.10,8329.00,7984.55
6826.85,6800.00,-26.85,6800.00,6270.15,8329.00,6943
7091.15,7063.45,-27.70,7063.45,5201.00,8329.00,7197.7
6703.05,6675.20,-27.85,6675.20,4637.50,8329.00,6773.15
6565.65,6537.10,-28.55,6537.10,4637.50,8329.00,6559.6
7223.80,7195.00,-28.80,7195.00,5201.00,8329.00,7212.95
6930.35,6900.00,-30.35,6900.00,4001.10,8329.00,7075
6781.25,6750.00,-31.25,6750.00,6270.15,8329.00,6818.45
7014.45,6979.90,-34.55,6979.90,6270.15,8329.00,7015.45
7165.05,7130.00,-35.05,7130.00,6031.15,8329.00,7130
6825.90,6789.50,-36.40,6789.50,6270.15,8329.00,6852
7081.75,7045.20,-36.55,7045.20,6270.15,8329.00,7104.9
6950.40,6912.50,-37.90,6912.50,6270.15,8329.00,6939.7
7922.60,7882.00,-40.60,7882.00,4001.10,8329.00,8170
7655.65,7615.00,-40.65,7615.00,6400.00,8329.00,7667.35
7124.70,7080.00,-44.70,7080.00,4001.10,8329.00,7175.2
6846.10,6799.95,-46.15,6799.95,6270.15,8329.00,6820
7667.35,7620.10,-47.25,7620.10,4001.10,8329.00,7675
7497.55,7448.00,-49.55,7448.00,4001.10,8329.00,7486.4
7186.25,7136.00,-50.25,7136.00,4001.10,8329.00,7158.4
7303.55,7251.70,-51.85,7296.95,5752.00,8329.00,7297
7113.75,7059.95,-53.80,7059.95,4001.10,8329.00,7149.95
7408.90,7355.00,-53.90,7355.00,6400.00,8329.00,7396.05
7114.25,7060.00,-54.25,7060.00,5400.00,8329.00,7099.1
6970.50,6905.00,-65.50,6905.00,4001.10,8329.00,7036
6764.00,6680.15,-83.85,6680.15,4680.55,8329.00,6749
6827.10,6739.85,-87.25,6739.85,4637.50,8329.00,6739.85
6959.35,6870.00,-89.35,6870.00,5641.00,8329.00,6925
6650.10,6560.00,-90.10,6560.00,4637.50,8329.00,6714.7
7356.25,7250.00,-106.25,7250.00,6400.00,8329.00,7529.7
7338.05,7220.00,-118.05,7220.00,6400.00,8329.00,7220
8232.75,8161.00,-71.75,8161.00,4001.10,8288.00,8329
7399.30,7489.00,89.70,7489.00,4440.00,8073.30,7489
7350.40,7440.00,89.60,7440.00,4315.00,8073.30,7457.95
7129.60,7200.85,71.25,7200.85,4440.00,8073.30,7205.4
7335.75,7400.00,64.25,7400.00,4214.00,8073.30,7408.95
7363.00,7422.00,59.00,7422.00,4055.20,8073.30,7457.95
7765.45,7810.00,44.55,7774.00,3753.90,8073.30,7837.65
7820.85,7858.70,37.85,7858.70,3753.90,8073.30,7869.65
7464.00,7498.85,34.85,7498.85,4031.05,8073.30,7539
7856.45,7889.00,32.55,7889.00,3753.90,8073.30,7929
